Index	Most often style	Spectral Clustering	Aglomerative Clustering	K-means
995	47	6	2	6
996	72	0	0	0
997	47	3	3	5
998	51	6	2	6
999	57	3	1	5
1000	56	6	2	6
1001	72	3	4	2
1002	68	3	1	4
1003	81	0	0	0
1004	59	0	0	0
1005	72	5	5	1
1006	32	3	3	5
1007	78	0	1	4
1008	81	0	0	0
1009	38	3	1	5
1010	53	6	2	1
1011	58	0	0	0
1012	44	3	3	5
1013	53	6	2	6
1014	42	3	4	2
1015	50	6	2	6
1016	51	4	0	1
1017	56	3	3	5
1018	81	0	1	4
1019	42	3	1	4
1020	40	0	1	4
1021	81	4	0	0
1022	29	3	1	4
1023	45	3	4	2
1024	81	0	6	3
1025	51	3	4	2
1026	38	0	1	4
1027	81	0	6	3
1028	49	3	3	2
1029	57	4	0	1
1030	50	3	4	2
1031	49	0	0	0
1032	28	3	1	4
1033	46	6	2	1
1034	49	5	5	1
1035	46	3	3	5
1036	72	4	0	1
1037	81	4	0	0
1038	56	3	4	4
1039	60	6	2	6
1040	81	0	6	3
1041	47	6	2	6
1042	50	6	2	6
1043	34	3	3	5
1044	81	0	0	0
1045	44	3	3	5
1046	72	0	1	4
1047	47	6	2	6
1048	48	0	1	0
1049	53	5	5	1
1050	87	3	1	2
1051	56	0	0	0
1052	43	3	4	2
1053	67	3	3	5
1054	59	3	4	2
1055	32	3	3	5
1056	56	3	4	2
1057	56	6	2	6
1058	73	3	1	4
1059	66	3	1	4
1060	59	0	1	4
1061	56	6	2	6
1062	67	0	1	4
1063	53	3	4	2
1064	54	4	2	1
1065	53	3	4	2
1066	56	6	2	6
1067	53	6	2	6
1068	63	3	3	5
1069	71	3	4	2
1070	32	3	3	5
1071	49	5	5	1
1072	32	3	4	4
1073	50	3	4	2
1074	76	4	0	1
1075	47	6	2	6
1076	61	0	1	4
1077	49	5	5	1
1078	49	5	5	1
1079	53	6	2	6
1080	51	6	2	6
1081	81	4	0	0
1082	81	0	1	0
1083	47	6	2	1
1084	43	3	4	2
1085	51	3	1	4
1086	32	3	3	5
1087	53	0	1	0
1088	53	6	2	6
1089	50	6	2	6
1090	53	5	5	1
1091	56	3	3	2
1092	56	3	3	5
1093	51	3	3	5
1094	76	0	6	3
1095	45	6	2	6
1096	56	3	3	5
1097	48	6	2	6
1098	50	6	2	6
1099	81	4	0	0
1100	81	0	0	0
1101	50	6	2	6
1102	81	0	0	0
1103	47	3	3	5
1104	45	3	4	4
1105	81	0	6	3
1106	39	3	4	2
1107	71	3	4	2
1108	54	3	4	2
1109	53	3	3	5
1110	54	6	2	6
1111	57	3	4	2
1112	28	0	1	4
1113	53	5	5	1
1114	32	3	3	5
1115	72	3	3	2
1116	42	0	1	4
1117	53	5	5	1
1118	47	3	3	5
1119	66	3	4	2
1120	45	3	3	5
1121	81	0	0	0
1122	51	0	1	0
1123	47	3	3	5
1124	53	4	0	1
1125	45	3	4	2
